id,exp_id,smiles,original_smiles
369485,1,O=C(c1csnn1)[*:1],[H]c1snnc1C(=O)N(c1c([H])c([H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
333597,1,CO[*:1],[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C([H])([H])[H])OC([H])([H])O4)c([H])c([H])c1OC([H])([H])[H]
337931,1,c1coc([*:1])c1,[H]c1oc(-c2nnc(SC([H])([H])C(=O)N([H])C([H])([H])c3oc([H])c([H])c3[H])n2-c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H]
363218,1,C1CO[C@@H](C[*:1])C1,[H]c1c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H]
363301,1,CC[*:1],[H]c1c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
388986,1,C[*:1],[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C@@]1([H])C([H])([H])C(=O)N(c2c([H])c([H])c(C([H])([H])[H])c(Cl)c2[H])C1([H])[H]
394565,1,c1coc(C[*:1])c1,[H]c1oc(C([H])([H])n2c(=O)c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])c2=O)c([H])c1[H]
369395,1,c1ccc([*:1])cc1,[H]c1snnc1C(=O)N(c1c([H])c([H])c(Cl)c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
6015216,1,O=C(O)[*:1],[H]c1c([H])c(C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C([H])([H])[H])OC([H])([H])C([H])([H])O4)c([H])c([H])c1C(=O)[O-]
12263736,1,CCOC(=O)[*:1],[H]Oc1c([H])c([H])c([H])c(C(=O)OC([H])([H])C2=C(C(=O)OC([H])([H])C([H])([H])[H])[C@]([H])(c3c([H])c([H])c(Cl)c([H])c3[H])N([H])C(=O)N2[H])c1[H]
