id,exp_id,smiles,original_smiles
369485,1,CCC(C)(C)N[*:2],[H]c1snnc1C(=O)N(c1c([H])c([H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
333597,1,C[*:2],[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C([H])([H])[H])OC([H])([H])O4)c([H])c([H])c1OC([H])([H])[H]
337931,1,c1coc(CN[*:2])c1,[H]c1oc(-c2nnc(SC([H])([H])C(=O)N([H])C([H])([H])c3oc([H])c([H])c3[H])n2-c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H]
363218,1,Cc1cccc(N[*:2])c1,[H]c1c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H]
363301,1,Cc1cc(C)cc(N[*:2])c1,[H]c1c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
363300,1,Cc1ccc(C)c(N[*:2])c1,[H]c1c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])C([H])([H])[H])c([H])c1C([H])([H])[H]
388986,1,CCCNS(=O)(=O)c1ccc(N[*:2])cc1,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C@@]1([H])C([H])([H])C(=O)N(c2c([H])c([H])c(C([H])([H])[H])c(Cl)c2[H])C1([H])[H]
389425,1,CCCc1nnc(N[*:2])s1,[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c1N1C(=O)C([H])([H])[C@]([H])(C(=O)N([H])c2nnc(C([H])([H])C([H])([H])C([H])([H])[H])s2)C1([H])[H]
393738,1,Fc1ccc(OC[*:2])cc1,[H]c1c([H])c(OC([H])([H])c2nnc3sc(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])nn23)c([H])c([H])c1F
394565,1,C[C@H]1CCCCN1[*:2],[H]c1oc(C([H])([H])n2c(=O)c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])c2=O)c([H])c1[H]
1100276,1,c1ccc2c(c1)CCCN2[*:2],[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])Sc1nc3sc4c(c3c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C2([H])[H]
1100277,1,C1CN([*:2])CCO1,[H]C([H])(Sc1nc2sc3c(c2c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
1152265,1,N#C[*:2],[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C#N)OC([H])([H])O4)c([H])c([H])c1OC([H])([H])[H]
361651,1,COc1ccc(N[*:2])cc1,[H]c1oc(C([H])([H])n2c(SC([H])([H])C(=O)N([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])nnc2-c2c(C([H])([H])[H])oc([H])c2[H])c([H])c1[H]
384031,1,NS(=O)(=O)c1ccc(N[*:2])cc1,[H]c1c([H])c(N2C(=O)C([H])([H])[C@]([H])(C(=O)N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H]
394561,1,C1CCC(N[*:2])C1,[H]c1oc(C([H])([H])n2c(=O)c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)c([H])c1[H]
1145006,1,COc1ccc([*:2])cc1OC,[H]c1c([H])c(C(=O)N([H])C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])no2)c([H])c([H])c1OC([H])([H])[H]
1657056,1,CCOCc1nnc(N[*:2])s1,[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c1N1C(=O)C([H])([H])[C@]([H])(C(=O)N([H])c2nnc(C([H])([H])OC([H])([H])C([H])([H])[H])s2)C1([H])[H]
389707,1,C1CC1c1nnc(N[*:2])s1,[H]c1c([H])c([H])c(OC([H])([H])c2nnc(SC([H])([H])C(=O)N([H])c3nnc(C4([H])C([H])([H])C4([H])[H])s3)n2C([H])([H])C([H])([H])[H])c([H])c1[H]
521118,1,Clc1ccccc1C[*:2],[H]c1nc(N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c([H])c2C([H])([H])[H])sc1C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl
2441927,1,COc1ccc([*:2])cc1,[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2nn3c(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])nnc3s2)c1[H]
2735898,1,Clc1ccccc1OC[*:2],[H]c1c([H])c([H])c(OC([H])([H])C(=O)N([H])C([H])([H])C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])no2)c(Cl)c1[H]
5840212,1,c1cc2c(cc1[*:2])OCO2,[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c([H])c([H])c([H])c3c(C([H])([H])[H])c2[H])c([H])c2c1OC([H])([H])O2
369395,1,Clc1ccc([*:2])cc1,[H]c1snnc1C(=O)N(c1c([H])c([H])c(Cl)c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
394577,1,C1=C(CCN[*:2])CCCC1,[H]C1=C(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n2c(=O)n(C([H])([H])c3oc([H])c([H])c3[H])c(=O)c3c([H])c([H])c([H])c([H])c32)C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
1037109,1,c1ccc(OC[*:2])cc1,[H]c1c([H])c([H])c(OC([H])([H])c2nn3c(-c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nnc3s2)c([H])c1[H]
2441939,1,COc1ccccc1/C=C/[*:2],[H]/C(=C(/[H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H])c1nn2c(C([H])([H])Oc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])nnc2s1
5981380,1,COc1cccc(CN[*:2])c1,[H]c1nc2nc(C([H])([H])[H])c(C([H])([H])C([H])([H])[H])c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])C([H])([H])c4c([H])c([H])c([H])c(OC([H])([H])[H])c4[H])C([H])([H])C3([H])[H])n2n1
