id,exp_id,smiles,original_smiles
369485,1,O=C(CN(c1cccc2c1CCCC2)[*:1])[*:2],[H]c1snnc1C(=O)N(c1c([H])c([H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
333597,1,O=C(CSc1nc2cc3c(cc2cc1[*:2])OCO3)c1ccc([*:1])cc1,[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c4c(c([H])c3c([H])c2C([H])([H])[H])OC([H])([H])O4)c([H])c([H])c1OC([H])([H])[H]
337931,1,Cc1cccc(-n2c(SCC(=O)[*:2])nnc2[*:1])c1,[H]c1oc(-c2nnc(SC([H])([H])C(=O)N([H])C([H])([H])c3oc([H])c([H])c3[H])n2-c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H]
363218,1,O=C(CSc1nnc(C2CC2)n1[*:1])[*:2],[H]c1c([H])c(N([H])C(=O)C([H])([H])Sc2nnc(C3([H])C([H])([H])C3([H])[H])n2C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H]
388986,1,O=C1C[C@H](C(=O)[*:2])CN1c1ccc([*:1])c(Cl)c1,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C@@]1([H])C([H])([H])C(=O)N(c2c([H])c([H])c(C([H])([H])[H])c(Cl)c2[H])C1([H])[H]
389425,1,Cc1cc(N2C[C@@H](C(=O)[*:2])CC2=O)ccc1[*:1],[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c1N1C(=O)C([H])([H])[C@]([H])(C(=O)N([H])c2nnc(C([H])([H])C([H])([H])C([H])([H])[H])s2)C1([H])[H]
393738,1,c1cc([*:1])ccc1OCc1nn2c([*:2])nnc2s1,[H]c1c([H])c(OC([H])([H])c2nnc3sc(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])nn23)c([H])c([H])c1F
394565,1,O=C(Cn1c(=O)n([*:1])c(=O)c2ccccc21)[*:2],[H]c1oc(C([H])([H])n2c(=O)c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C([H])([H])[H])c2=O)c([H])c1[H]
1100276,1,O=C(CSc1nc2sc3c(c2c(=O)n1[*:1])CCCC3)[*:2],[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])Sc1nc3sc4c(c3c(=O)n1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C2([H])[H]
361651,1,Cc1occc1-c1nnc(SCC(=O)[*:2])n1[*:1],[H]c1oc(C([H])([H])n2c(SC([H])([H])C(=O)N([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])nnc2-c2c(C([H])([H])[H])oc([H])c2[H])c([H])c1[H]
384031,1,O=C1C[C@H](C(=O)[*:2])CN1c1ccc([*:1])cc1,[H]c1c([H])c(N2C(=O)C([H])([H])[C@]([H])(C(=O)N([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H]
1145006,1,O=C(NCc1nc([*:2])no1)c1ccc([*:1])cc1,[H]c1c([H])c(C(=O)N([H])C([H])([H])c2nc(-c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])no2)c([H])c([H])c1OC([H])([H])[H]
2736812,1,O=C(NCCc1nc(-c2ccc([*:1])cc2)no1)[*:2],[H]c1c([H])c(-c2noc(C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])n2)c([H])c([H])c1OC([H])([H])[H]
3594638,1,c1cc([*:1])ccc1OCc1nnc2sc([*:2])nn12,[H]c1c([H])c(OC([H])([H])c2nn3c(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])nnc3s2)c([H])c([H])c1F
389707,1,O=C(CSc1nnc(COc2ccccc2)n1[*:1])[*:2],[H]c1c([H])c([H])c(OC([H])([H])c2nnc(SC([H])([H])C(=O)N([H])c3nnc(C4([H])C([H])([H])C4([H])[H])s3)n2C([H])([H])C([H])([H])[H])c([H])c1[H]
393732,1,c1ccc([*:1])c(OCc2nn3c([*:2])nnc3s2)c1,[H]c1c([H])c([H])c(C([H])([H])[H])c(OC([H])([H])c2nn3c(C([H])([H])Oc4c([H])c([H])c(F)c([H])c4[H])nnc3s2)c1[H]
521118,1,O=C(COc1ccccc1[*:1])Nc1ncc([*:2])s1,[H]c1nc(N([H])C(=O)C([H])([H])Oc2c([H])c([H])c([H])c([H])c2C([H])([H])[H])sc1C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl
1121360,1,O=C(CSc1nnc([*:1])n1Cc1ccccc1)[*:2],[H]c1oc(-c2nnc(SC([H])([H])C(=O)N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
1333526,1,O=C(CSc1nnc(-c2ccc(Cl)cc2)n1[*:1])[*:2],[H]c1oc(C([H])([H])N([H])C(=O)C([H])([H])Sc2nnc(-c3c([H])c([H])c(Cl)c([H])c3[H])n2C([H])([H])C([H])([H])[H])c([H])c1[H]
2441927,1,c1cc(-c2nn3c(CO[*:2])nnc3s2)cc([*:1])c1,[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2nn3c(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])nnc3s2)c1[H]
5840212,1,O=C(CSc1cc([*:1])c2ccccc2n1)[*:2],[H]c1c([H])c(C(=O)C([H])([H])Sc2nc3c([H])c([H])c([H])c([H])c3c(C([H])([H])[H])c2[H])c([H])c2c1OC([H])([H])O2
369395,1,O=C(NC1CCCC1)[C@H](N(C(=O)c1csnn1)[*:2])[*:1],[H]c1snnc1C(=O)N(c1c([H])c([H])c(Cl)c([H])c1[H])[C@@]([H])(C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1[H]
1037109,1,COc1cc(-c2nnc3sc([*:2])nn23)ccc1[*:1],[H]c1c([H])c([H])c(OC([H])([H])c2nn3c(-c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])nnc3s2)c([H])c1[H]
5981380,1,CCc1c([*:1])nc2ncnn2c1N1CCC(C(=O)[*:2])CC1,[H]c1nc2nc(C([H])([H])[H])c(C([H])([H])C([H])([H])[H])c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])C([H])([H])c4c([H])c([H])c([H])c(OC([H])([H])[H])c4[H])C([H])([H])C3([H])[H])n2n1
